emotion_label,id_str,text
anger,1231188975727075329,RT @Hjhft10: #OurPrideShehnaaz Sana fans hate Sid for how he behaved w Sana and how much he hurt her. Sid fans hate on Sana just cause she…
anger,1231191957168242688,"RT @Hinar_miler: Drunk again :)
Art for @bfw08 
FA: https://t.co/45NyT3NxGh https://t.co/XFVJ7YBTj5"
anger,1231197854196215808,"This team was absolutely unstoppable. <span class='emoji-bytes' data-emoji-bytes='[240, 159, 145, 128]'></span> kinda similar to what’s gonna happen this season <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 129]'></span>"
anger,1231189721323163648,"RT @ohmflvkes: ohm being possessive over a standee? what more if it's the real fluke <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 179]'></span> #FlukeGraduationday https://t.co/kfiKtAq2Ch"
anger,1231178441397035008,"RT @CrimeLdn: <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 178]'></span> A Deliveroo rider hit the woman on a zebra crossing in Marylebone, London <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 174]'></span> https://t.co/P6l4Dsx7kG"
anger,1231193074228846592,now waffle house is trending stop making me miss my trip :(
anger,1231179209239711747,RT @Nira95760435: @sfpelosi @TheJusticeDept @GOP Sedition. Trump is seditious. He’s rebelling against our nation’s authorities who took oat…
anger,1231199001111777280,Let just imagine this when #paveldome and #j9 are feeling nervous to downing the aisle to start their wedding cerem… https://t.co/q9oI15xyFW
anger,1231189650657697792,"RT @notcapnamerica: .@StevenHorsford just dragged the fuck outta Bernard Sanders <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 179]'></span> https://t.co/Z9spej0RJv"
anger,1231189685122170880,"Exactly <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 162]'></span>"
anger,1231200580539998208,"Chelsea fans are so rowdy <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 160]'></span>"
anger,1231190026517729281,@physicsJ It seems every rain cloud in the northern hemisphere lands on Scotland ☹️
anger,1231181760513310720,RT @sarcastic_dr_: And the cycle repeats again and again
anger,1231181696197853186,RT @CHANPRlNT: omw to beat the ass of every fansite stalking skz :) https://t.co/SH6HSkggWp
anger,1231177955294007296,"RT @MarciiMarcii1: Sugar baby in need of sugar daddy <span class='emoji-bytes' data-emoji-bytes='[240, 159, 153, 130]'></span>"
excitement,1231193188758503424,@dyoversweet Jahat :(
excitement,1231200792884858880,"*escaping pain* <span class='emoji-bytes' data-emoji-bytes='[240, 159, 153, 130]'></span>"
excitement,1231193883268141056,"@mynameisandweya Wabyu <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 160]'></span>"
excitement,1231190307443597313,"lahbyumore<span class='emoji-bytes' data-emoji-bytes='[240, 159, 165, 176]'></span>."
